OBS_ID,class,PN_REGION_NUMBER,PN_RA,PN_DEC,M1_REGION_NUMBER,M1_RA,M1_DEC,M2_REGION_NUMBER,M2_RA, M2_DEC,PN_M1_SEP,PN_M2_SEP, M1_M2_SEP,EXOD_RA,EXOD_DEC,XMM_RA,XMM_DEC,EXOD_XMM_SEP,XMM_SRCID,XMM_EP8_FLUX,XMM_PIPELINE_VARIABLE,SIMBAD_match_sep_1,SIMBAD_match_name_1,SIMBAD_match_obj_type_1,SIMBAD_match_sep_2,SIMBAD_match_name_2,SIMBAD_match_obj_type_2,SIMBAD_match_sep_3,SIMBAD_match_name_3,SIMBAD_match_obj_type_3,SIMBAD_CLASS
XMM 0831790701,T,1,19.7858,-34.1926,1,19.786,-34.1922,1,19.7852,-34.1912,1.56,5.35,4.32,19.785666666666668,-34.192,19.785855713855817,-34.19166699023235,1.32,XMM206578201010001,4.9079653e-13,Yes_and_variable,1.457,2MASX J01190869-3411305,AGN,NA,NA,NA,NA,NA,NA,AGN
XMM 0001730201,D,-,-,-,1,263.6776,-32.5809,1,263.6748,-32.5813,-,-,8.61,263.6762,-32.5811,263.67709791502,-32.581688363897,3.45,XMM200017302010001,2.2831069e-12,Yes_and_variable,3.294,HD 159176,SB*,8.798,NGC  6383   617,Star,8.798,NGC  6383   619,Star,Star
XMM 0001730201,S,1,263.6925,-32.5549,-,-,-,-,-,-,-,-,-,263.6925,-32.5549,NA,NA,-1,XMMNA,NA,No_match,5.003,2MASS J17344581-3233180,Star,25.389,Gaia DR2 4054618697050358144,Star,NA,NA,NA,Star
XMM 0002970201,D,2,35.7943,42.9884,1,35.7967,42.9919,-,-,-,14.1,-,-,35.795500000000004,42.99015,35.797876494786,42.99233186424701,10.04,XMM200029702010002,5.062406e-13,Yes_and_not_variable,8.736,UGC  1841,Seyfert_1,10.57,[TBH2000] Jet 2,IR,15.827,[TBH2000] Jet 1,IR,AGN
XMM 0002970201,D,-,-,-,2,35.6656,43.0346,1,35.6649,43.0356,-,-,4.04,35.66525,43.0351,35.665037930427,43.03552982950399,1.64,XMM200029702010001,3.0093037e-12,Yes_and_not_variable,0.893,NAME 3C66A Cluster,Possible_ClG,1.52,3C  66A,BLLac,14.878,[TCB2018] 3C66A 12,Galaxy,Galaxy
XMM 0002970201,S,1,35.7961,42.9246,-,-,-,-,-,-,-,-,-,35.7961,42.9246,35.799656732785,42.925079283138,9.53,XMM200029702010004,8.165174e-14,Yes_and_not_variable,9.58,TYC 2839-34-1,Star,26.069,2E 0220.0+4241,X,NA,NA,NA,Star
XMM 0002970201,S,3,35.7058,42.8655,-,-,-,-,-,-,-,-,-,35.7058,42.8655,35.70708666880099,42.867646811447,8.44,XMM200029702010011,9.833115e-14,Yes_and_not_variable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XMM 0002970201,S,-,-,-,1,35.7967,42.9919,-,-,-,-,-,-,35.7967,42.9919,35.797876494786,42.99233186424701,3.47,XMM200029702010002,5.062406e-13,Yes_and_not_variable,2.344,UGC  1841,Seyfert_1,4.484,[TBH2000] Jet 2,IR,9.66,[TBH2000] Jet 1,IR,AGN
