OBS_ID,REGION_NUMBER,SIMBAD_MATCH_NO,OBJ_NAME,RA_EXOD,DEC_EXOD,RA_SIM,DEC_SIM,SEP,OBJ_TYPE,INST,DL,GTR,BS,TW
0002970201,1,1,3C  66A,35.6649,43.0356,02 22 39.6114,+43 02 07.799,0.556,BLLac,M2,4.0,1.0,13,100.0
0002970201,1,2,NAME 3C66A Cluster,35.6649,43.0356,02 22 39.6,+43 02 07,1.201,Possible_ClG,M2,4.0,1.0,13,100.0
0002970201,1,3,[TCB2018] 3C66A 12,35.6649,43.0356,02 22 40.2,+43 02 20,13.686,Galaxy,M2,4.0,1.0,13,100.0
0002970201,1,4,PLCKERC -070 G140.13-16.76,35.6649,43.0356,02 22 37,+43 02.0,29.37,FIR,M2,4.0,1.0,13,100.0
