OBS_ID,REGION_NUMBER,SIMBAD_MATCH_NO,OBJ_NAME,RA_EXOD,DEC_EXOD,RA_SIM,DEC_SIM,SEP,OBJ_TYPE,INST,DL,GTR,BS,TW
0001730201,1,1,HD 159176,263.6776,-32.5809,17 34 42.4921,-32 34 53.995,3.191,SB*,M1,4.0,1.0,13,100.0
0001730201,1,2,HD 159176B,263.6776,-32.5809,17 34 42.9390,-32 34 55.025,5.499,Star,M1,4.0,1.0,13,100.0
0001730201,1,3,NGC  6383   617,263.6776,-32.5809,17 34 42,-32 35.0,11.756,Star,M1,4.0,1.0,13,100.0
0001730201,1,4,NGC  6383   619,263.6776,-32.5809,17 34 42,-32 35.0,11.756,Star,M1,4.0,1.0,13,100.0
0001730201,1,5,HD 159176C,263.6776,-32.5809,17 34 43.5697,-32 34 52.489,12.041,Star,M1,4.0,1.0,13,100.0
