OBS_ID,REGION_NUMBER,SIMBAD_MATCH_NO,OBJ_NAME,RA_EXOD,DEC_EXOD,RA_SIM,DEC_SIM,SEP,OBJ_TYPE,INST,DL,GTR,BS,TW
0002970201,1,1,TYC 2839-34-1,35.7961,42.9246,02 23 11.9262,+42 55 29.789,9.58,Star,PN,6.0,1.0,3,100.0
0002970201,1,2,2E 0220.0+4241,35.7961,42.9246,02 23 13.4,+42 55 33,26.069,X,PN,6.0,1.0,3,100.0
0002970201,2,1,UGC  1841,35.7943,42.9884,02 23 11.4132,+42 59 31.378,15.7,Seyfert_1,PN,6.0,1.0,3,100.0
0002970201,2,2,[TBH2000] Jet 2,35.7943,42.9884,02 23 11.6,+42 59 32,17.398,IR,PN,6.0,1.0,3,100.0
0002970201,2,3,[TBH2000] Jet 1,35.7943,42.9884,02 23 12.0,+42 59 35,22.516,IR,PN,6.0,1.0,3,100.0
0002970201,2,4,2MASX J02231298+4259162,35.7943,42.9884,02 23 12.9787,+42 59 16.063,25.873,GinGroup,PN,6.0,1.0,3,100.0
0002970201,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
