DETID,SRCID,OBS_ID,EP_8_FLUX,EP_8_FLUX_ERR,SC_RA,SC_DEC,SC_POSERR
101183003010001,201175102010001,XMM 0118300301,4.2490414e-11,8.548167e-13,85.04617988288302,-69.33169227597809,0.41915083
101189011010001,201175102010001,XMM 0118901101,3.6850533e-11,3.0711534e-13,85.04617988288302,-69.33169227597809,0.41915083
101375506010001,201167003010001,XMM 0137550601,5.5293436e-11,1.8307168e-13,89.94746698896022,-50.44783860933792,0.0807782
101110401010002,201110401010002,XMM 0111040101,2.3876451e-11,5.1837907e-13,94.27714077325702,9.133874456968602,1.9024305
105026718010025,205026718010025,XMM 0502671801,1.931437e-11,3.5412773e-12,123.36278560138,-57.409248211873,2.0767412
107226403010020,206502213010022,XMM 0722640301,5.0814505e-11,7.1973894e-13,125.474451618297,-42.82564219232596,1.0073968
107818701010035,201130203010041,XMM 0781870101,6.025925e-11,9.0272776e-13,125.51217009754582,-42.76612861983266,0.68279344
106502209010101,201130203010048,XMM 0650220901,1.1668767e-11,4.8213e-13,125.63318062603304,-42.889384913058784,0.5123466
106502210010141,201130203010105,XMM 0650221001,1.7850874e-11,7.9450715e-13,125.75760110226608,-42.87442231112265,0.5927433
101110802010002,201110802010002,XMM 0111080201,2.1582562e-11,6.853637e-13,128.8176577170069,-45.203843344048614,1.3653786
101436537010004,201436537010004,XMM 0143653701,2.0091435e-11,1.3830787e-11,129.11945376193,55.712541963136,5.093457
106907002010027,206907002010027,XMM 0690700201,5.5668588e-11,1.2782103e-12,125.68697792353001,-42.735208195163,2.1016824
106502212010028,201130203015039,XMM 0650221201,1.5425917e-11,3.9161816e-13,125.37337815498704,-42.93721363559952,0.99261737
103058002010018,203058002010018,XMM 0305800201,2.6743184e-11,1.4199775e-11,150.68247905162,-4.2504991034363,20.0
108036202010001,202030502010001,XMM 0803620201,1.9923056e-11,1.3436787e-13,155.9486815739775,0.6447288201987956,0.06071809
101506204010006,201506204010006,XMM 0150620401,2.649098e-11,1.1924985e-11,162.18467654371,-4.1505048225348,8.300958
