OBS_ID,REGION_NUMBER,SIMBAD_MATCH_NO,OBJ_NAME,RA_EXOD,DEC_EXOD,RA_SIM,DEC_SIM,SEP,OBJ_TYPE,INST,DL,GTR,BS,TW
0001730201,1,1,HD 159176,263.6748,-32.5813,17 34 42.4921,-32 34 53.995,6.973,SB*,M2,4.0,1.0,13,100.0
0001730201,1,2,NGC  6383   617,263.6748,-32.5813,17 34 42,-32 35.0,7.329,Star,M2,4.0,1.0,13,100.0
0001730201,1,3,NGC  6383   619,263.6748,-32.5813,17 34 42,-32 35.0,7.329,Star,M2,4.0,1.0,13,100.0
0001730201,1,4,Gaia DR2 4054618555305820928,263.6748,-32.5813,17 34 41.3197,-32 34 58.486,9.847,Star,M2,4.0,1.0,13,100.0
0001730201,1,5,Cl* NGC 6383    FJL      12,263.6748,-32.5813,17 34 41.1419,-32 34 50.197,10.516,Star,M2,4.0,1.0,13,100.0
