OBS_ID,REGION_NUMBER,SIMBAD_MATCH_NO,OBJ_NAME,RA_EXOD,DEC_EXOD,RA_SIM,DEC_SIM,SEP,OBJ_TYPE,INST,DL,GTR,BS,TW
0002970201,1,1,UGC  1841,35.7967,42.9919,02 23 11.4132,+42 59 31.378,2.344,Seyfert_1,M1,4.0,1.0,13,100.0
0002970201,1,2,[TBH2000] Jet 2,35.7967,42.9919,02 23 11.6,+42 59 32,4.484,IR,M1,4.0,1.0,13,100.0
0002970201,1,3,[TBH2000] Jet 1,35.7967,42.9919,02 23 12.0,+42 59 35,9.66,IR,M1,4.0,1.0,13,100.0
0002970201,1,4,2MASX J02231298+4259162,35.7967,42.9919,02 23 12.9787,+42 59 16.063,24.437,GinGroup,M1,4.0,1.0,13,100.0
0002970201,2,1,NAME 3C66A Cluster,35.6656,43.0346,02 22 39.6,+43 02 07,2.886,Possible_ClG,M1,4.0,1.0,13,100.0
0002970201,2,2,3C  66A,35.6656,43.0346,02 22 39.6114,+43 02 07.799,3.534,BLLac,M1,4.0,1.0,13,100.0
0002970201,2,3,[TCB2018] 3C66A 12,35.6656,43.0346,02 22 40.2,+43 02 20,16.235,Galaxy,M1,4.0,1.0,13,100.0
